# Label each row: real (worth fixing here), noise (not actionable in this repo), dup (same issue as another row — name its fingerprint in notes)
fingerprint	source	package	advisory	severity	title	label	notes
16b7760835606031	osv-scanner	tar	GHSA-R292-9MHP-454M	moderate	node-tar: Uncontrolled recursion in mapHas/filesFilter allows uncatchable stack-overflow DoS via crafted long-path tar with member selection		
1708aa5e9fe51eb3	osv-scanner	undefsafe	CVE-2019-10795	moderate	Prototype Pollution in undefsafe		
18d76fcf512d7f10	osv-scanner	chownr	CVE-2017-18869	low	Time-of-check Time-of-use (TOCTOU) Race Condition in chownr		
1916af8e5282c185	osv-scanner	sshpk	CVE-2018-3737	high	Regular Expression Denial of Service in sshpk		
19e430f4c00681c0	osv-scanner	hoek	CVE-2018-3728	high	Prototype Pollution in hoek		
1ac2ad1a6fbeb9fc	osv-scanner	moment	CVE-2022-24785	high	Path Traversal: 'dir/../../filename' in moment.locale		
1db0056004ccb6e6	osv-scanner	tar	CVE-2026-26960	high	Arbitrary File Read/Write via Hardlink Target Escape Through Symlink Chain in node-tar Extraction		
1dd41973af1ce0a9	npm-audit	underscore	GHSA-CF4H-3JHX-XVHQ	critical	Arbitrary Code Execution in underscore		
1e7a493c562a37af	npm-audit	brace-expansion	GHSA-RGW5-RVV9-X895	high	brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation		
1f18c68513e3aec5	npm-audit	request	GHSA-P8P7-X288-28G6	moderate	Server-Side Request Forgery in Request		
1ff1b8dddeb1a162	npm-audit	tar	GHSA-QFFP-2RHF-9H96	high	tar has Hardlink Path Traversal via Drive-Relative Linkpath		
206762d7e9deab92	npm-audit	ms	GHSA-W9MR-4MFR-499F	moderate	Vercel ms Inefficient Regular Expression Complexity vulnerability		
207ae20f1fb56179	osv-scanner	tar	CVE-2026-59871	moderate	node-tar: Process crash via PAX numeric path type confusion		
2195598c4ce2db9f	npm-audit	jsonpointer	GHSA-282F-QQGM-C34Q	moderate	Prototype Pollution in node-jsonpointer		
2311cf0eba3cb15c	npm-audit	decode-uri-component	GHSA-W573-4HG7-7WGQ	high	decode-uri-component vulnerable to Denial of Service (DoS)		
24260ae0af148650	npm-audit	minimatch	GHSA-3PPC-4F35-3M26	high	minimatch has a ReDoS via repeated wildcards with non-matching literal in pattern		
25189c85f838e8b7	npm-audit	marked	GHSA-RRRM-QJM4-V8HF	high	Inefficient Regular Expression Complexity in marked		
25578d72c9fdc2bc	npm-audit	send	GHSA-M6FV-JMCG-4JFG	low	send vulnerable to template injection that can lead to XSS		
25585a2ee27e1d4b	osv-scanner	tar	CVE-2026-29786	high	tar has Hardlink Path Traversal via Drive-Relative Linkpath		
25c62caf126903e5	npm-audit	qs	GHSA-JJV7-QPX3-H62Q	high	Denial-of-Service Memory Exhaustion in qs		
26860da0ca2f36a2	npm-audit	path-to-regexp	GHSA-37CH-88JC-XWX2	high	path-to-regexp vulnerable to Regular Expression Denial of Service via multiple route parameters		
2787cf477cee68fb	npm-audit	handlebars	GHSA-G9R4-XPMJ-MJ65	high	Prototype Pollution in handlebars		
2787cf477cee68fb	osv-scanner	handlebars	GHSA-G9R4-XPMJ-MJ65	high	Prototype Pollution in handlebars		
27b129fa3688ac17	npm-audit	underscore	GHSA-QPX9-HPMF-5GMW	high	Underscore has unlimited recursion in _.flatten and _.isEqual, potential for DoS attack		
28476eac5d5971d3	npm-audit	handlebars	GHSA-9CX6-37PM-9JFF	high	Handlebars.js has Denial of Service via Malformed Decorator Syntax in Template Compilation		
2bf47d1a7781e074	npm-audit	growl	GHSA-QH2H-CHJ9-JFFQ	critical	Growl before 1.10.0 vulnerable to Command Injection		
2c8bfe2273740bf8	osv-scanner	tar	CVE-2026-53655	moderate	node-tar applies PAX size override to intermediary GNU long-name/long-link headers, causing tar parser interpretation differential (file smuggling)		
2d0bbfe475a0af4a	npm-audit	ws	GHSA-96HV-2XVQ-FX4P	high	ws: Memory exhaustion DoS from tiny fragments and data chunks		
2dfdd9728aaefdb6	osv-scanner	growl	CVE-2017-16042	critical	Growl before 1.10.0 vulnerable to Command Injection		
2eab1999dc111262	osv-scanner	jsonpointer	CVE-2021-23807	moderate	Prototype Pollution in node-jsonpointer		
2ef9f3d1befcc4e1	npm-audit	npm	GHSA-4328-8HGF-7WJR	high	npm Vulnerable to Global node_modules Binary Overwrite		
2fc255e1f09e5242	osv-scanner	tough-cookie	CVE-2023-26136	moderate	tough-cookie Prototype Pollution vulnerability		
2fed90fd94666cef	osv-scanner	bson	CVE-2019-2391	moderate	Deserialization of Untrusted Data in bson		
30845ec0fe9d401e	npm-audit	tar	GHSA-F5X3-32G6-XQ36	moderate	Denial of service while parsing a tar file due to lack of folders count validation		
30b6dd555bc8cb39	osv-scanner	trim-newlines	CVE-2021-33623	high	Uncontrolled Resource Consumption in trim-newlines		
30d8125ca1640397	osv-scanner	handlebars	CVE-2021-23383	critical	Prototype Pollution in handlebars		
31e1633ab8563ee1	npm-audit	js-yaml	GHSA-MH29-5H37-FV8M	moderate	js-yaml has prototype pollution in merge (<<)		
33b655463b358f82	osv-scanner	tar	CVE-2026-31802	high	node-tar Symlink Path Traversal via Drive-Relative Linkpath		
35863ae0c5e8d05b	npm-audit	tmp	GHSA-52F5-9888-HMC6	low	tmp allows arbitrary temporary file / directory write via symbolic link `dir` parameter		
35f4b0a0713268b4	osv-scanner	handlebars	CVE-2026-33940	high	Handlebars.js has JavaScript Injection via AST Type Confusion when passing an object as dynamic partial		
3612fadf69302ef6	npm-audit	js-yaml	GHSA-H67P-54HQ-RP68	moderate	JS-YAML: Quadratic-complexity DoS in merge key handling via repeated aliases		
3614288883114c93	npm-audit	handlebars	GHSA-Q2C6-C6PM-G3GH	high	Arbitrary Code Execution in handlebars		
3614288883114c93	osv-scanner	handlebars	GHSA-Q2C6-C6PM-G3GH	high	Arbitrary Code Execution in handlebars		
366167c9512790bb	osv-scanner	marked	CVE-2022-21680	high	Inefficient Regular Expression Complexity in marked		
36dcbacae41ff938	npm-audit	handlebars	GHSA-62GR-4QP9-H98F	high	Regular Expression Denial of Service in Handlebars		
38111e82da35b608	npm-audit	minimist	GHSA-XVCH-5GV4-984H	critical	Prototype Pollution in minimist		
38111e82da35b608	npm-audit	minimist	GHSA-XVCH-5GV4-984H	critical	Prototype Pollution in minimist		
38419faff211212c	osv-scanner	lodash	CVE-2025-13465	moderate	lodash vulnerable to Prototype Pollution via array path bypass in `_.unset` and `_.omit`		
3a91310e9839f435	npm-audit	tar	GHSA-8QQ5-RM4J-MR97	high	node-tar is Vulnerable to Arbitrary File Overwrite and Symlink Poisoning via Insufficient Path Sanitization		
3ab6b39555075fbe	npm-audit	tmp	GHSA-PH9P-34F9-6G65	high	tmp has Path Traversal via unsanitized prefix/postfix that enables directory escape		
3b18c0ff3752992f	osv-scanner	randomatic	CVE-2017-16028	moderate	Cryptographically Weak PRNG in randomatic		
3b785f7643b59d38	osv-scanner	handlebars	CVE-2026-33938	high	Handlebars.js has JavaScript Injection via AST Type Confusion by tampering @partial-block		
3b8f66e7900814eb	npm-audit	undefsafe	GHSA-332Q-7FF2-57H2	moderate	Prototype Pollution in undefsafe		
3b92cbde3d52c24b	npm-audit	micromatch	GHSA-952P-6RRQ-RCJV	moderate	Regular Expression Denial of Service (ReDoS) in micromatch		
3c7a93bf53cbbcbb	npm-audit	marked	GHSA-VFVF-MQQ8-RWQC	moderate	Sanitization bypass using HTML Entities in marked		
3cf6e56a58506c11	npm-audit	tar	GHSA-9PPJ-QMQM-Q256	high	node-tar Symlink Path Traversal via Drive-Relative Linkpath		
3d382c18a34429d6	npm-audit	marked	GHSA-X5PG-88WF-QQ4P	high	Regular Expression Denial of Service in marked		
3da3cf9127b51cb4	npm-audit	brace-expansion	GHSA-3JXR-9VMJ-R5CP	high	brace-expansion: DoS via exponential-time expansion of consecutive non-expanding {} groups		
3ded1e04e3212037	npm-audit	helmet-csp	GHSA-C3M8-X3CG-QM2C	moderate	Configuration Override in helmet-csp		
3ded1e04e3212037	osv-scanner	helmet-csp	GHSA-C3M8-X3CG-QM2C	moderate	Configuration Override in helmet-csp		
3e3afc8c2d7ed6f0	npm-audit	tar	GHSA-83G3-92JG-28CX	high	Arbitrary File Read/Write via Hardlink Target Escape Through Symlink Chain in node-tar Extraction		
3f04e6b54bdc3012	npm-audit	trim-newlines	GHSA-7P7H-4MM5-852V	high	Uncontrolled Resource Consumption in trim-newlines		
3f3ec78858b63b46	osv-scanner	es5-ext	CVE-2024-27088	low	es5-ext vulnerable to Regular Expression Denial of Service in `function#copy` and `function#toStringTokens`		
40093acdae4bcd55	osv-scanner	mixin-deep	CVE-2019-10746	critical	Prototype Pollution in mixin-deep		
40a5ed8ada22057e	osv-scanner	tmp	CVE-2026-44705	high	tmp has Path Traversal via unsanitized prefix/postfix that enables directory escape		
40b745c737dbb40b	npm-audit	babel-traverse	GHSA-67HX-6X53-JW92	critical	Babel vulnerable to arbitrary code execution when compiling specifically crafted malicious code		
414549ad6ef0296e	npm-audit	websocket-extensions	GHSA-G78M-2CHM-R7QV	high	Regular Expression Denial of Service in websocket-extensions (NPM package)		
4217b8b3e0ddda12	osv-scanner	minimist	CVE-2020-7598	moderate	Prototype Pollution in minimist		
434e662d832e86ad	osv-scanner	debug	CVE-2017-16137	low	Regular Expression Denial of Service in debug		
43ddb3227dcabe40	osv-scanner	minimatch	CVE-2022-3517	high	minimatch ReDoS vulnerability		
448d72c10831fc9a	npm-audit	lodash	GHSA-XXJR-MMJV-4GPG	moderate	Lodash has Prototype Pollution Vulnerability in `_.unset` and `_.omit` functions		
44f397ed8962ef62	npm-audit	qs	GHSA-F9CM-P3W6-XVR3	high	Denial-of-Service Extended Event Loop Blocking in qs		
460676ab37a82431	npm-audit	hawk	GHSA-JCPV-G9RR-QXRC	high	Regular Expression Denial of Service in hawk		
461ac51f4df8f2de	npm-audit	braces	GHSA-GRV7-FG5C-XMJG	high	Uncontrolled resource consumption in braces		
469ff9a8989fd21e	osv-scanner	minimist	CVE-2021-44906	critical	Prototype Pollution in minimist		
4730876e4ec86e84	npm-audit	tough-cookie	GHSA-QHV9-728R-6JQG	moderate	ReDoS via long string of semicolons in tough-cookie		
49ea30e3fc8de394	osv-scanner	semver	CVE-2022-25883	high	semver vulnerable to Regular Expression Denial of Service		
4a4dc36dc4014da6	npm-audit	lodash	GHSA-4XC9-XHRJ-V574	high	Prototype Pollution in lodash		
4bbdc2ccf3e2c2f5	osv-scanner	lodash	CVE-2018-16487	high	Prototype Pollution in lodash		
4bde979d144c5fd7	osv-scanner	npm	CVE-2019-16775	high	Arbitrary File Write in npm		
4c0d022e21c3d9a9	osv-scanner	lodash	CVE-2018-3721	moderate	Prototype Pollution in lodash		
4c89c2d2cf6a44fb	npm-audit	ajv	GHSA-V88G-CGMW-V5XW	moderate	Prototype Pollution in Ajv		
4c8ffa2ee0d3e2e4	osv-scanner	diff	CVE-2026-24001	low	jsdiff has a Denial of Service vulnerability in parsePatch and applyPatch		
4cc069279dfbcfe6	npm-audit	path-to-regexp	GHSA-RHX6-C78J-4Q9W	high	path-to-regexp contains a ReDoS		
4d829b9d62077948	npm-audit	json-schema	GHSA-896R-F27R-55MW	critical	json-schema is vulnerable to Prototype Pollution		
4e208588f29b942f	osv-scanner	stringstream	CVE-2018-21270	moderate	Out-of-bounds Read in stringstream		
4fcd3d5303390899	osv-scanner	async	CVE-2021-43138	high	Prototype Pollution in async		
51099fe141f15666	osv-scanner	adm-zip	CVE-2018-1002204	moderate	Arbitrary File Write in adm-zip		
5250f02a8b8a81c3	osv-scanner	marked	CVE-2016-10531	moderate	Sanitization bypass using HTML Entities in marked		
5363cdf6bc0a5b53	npm-audit	js-yaml	GHSA-2PR6-76VF-7546	moderate	Denial of Service in js-yaml		
5363cdf6bc0a5b53	osv-scanner	js-yaml	GHSA-2PR6-76VF-7546	moderate	Denial of Service in js-yaml		
53866bc9ab597c93	osv-scanner	minimatch	CVE-2016-10540	high	Regular Expression Denial of Service in minimatch		
57c4cc74db1240ec	osv-scanner	body-parser	CVE-2024-45590	high	body-parser vulnerable to denial of service when url encoding is enabled		
58aeb11f97880bca	osv-scanner	cross-spawn	CVE-2024-21538	high	Regular Expression Denial of Service (ReDoS) in cross-spawn		
598902ac9ae8f4f4	npm-audit	cross-spawn	GHSA-3XGQ-45JJ-V275	high	Regular Expression Denial of Service (ReDoS) in cross-spawn		
598902ac9ae8f4f4	npm-audit	cross-spawn	GHSA-3XGQ-45JJ-V275	high	Regular Expression Denial of Service (ReDoS) in cross-spawn		
59c674d75f521580	npm-audit	handlebars	GHSA-442J-39WM-28R2	low	Handlebars.js has a Property Access Validation Bypass in container.lookup		
59c674d75f521580	osv-scanner	handlebars	GHSA-442J-39WM-28R2	low	Handlebars.js has a Property Access Validation Bypass in container.lookup		
59d52743e8c7f783	npm-audit	adm-zip	GHSA-3V6H-HQM4-2RG6	moderate	Arbitrary File Write in adm-zip		
5a5babfb702f566a	osv-scanner	tar	CVE-2026-59875	moderate	node-tar: Uncaught Exception DoS via NUL byte in PAX path/linkpath records		
5a630db102bdd6e3	osv-scanner	underscore	CVE-2021-23358	critical	Arbitrary Code Execution in underscore		
5ad4675d41dea251	npm-audit	handlebars	GHSA-XHPV-HC6G-R9C6	high	Handlebars.js has JavaScript Injection via AST Type Confusion when passing an object as dynamic partial		
5af5e764f599b865	npm-audit	stringstream	GHSA-MF6X-7MM4-X2G7	moderate	Out-of-bounds Read in stringstream		
5b62293a788035b0	npm-audit	express	GHSA-RV95-896H-C2VC	moderate	Express.js Open Redirect in malformed URLs		
5bd20f57035b4203	osv-scanner	npm-user-validate	CVE-2020-7754	high	Regular expression denial of service in npm-user-validate		
5c57a16367fd925c	osv-scanner	qs	CVE-2017-1000048	high	Prototype Pollution Protection Bypass in qs		
5cd01c3b6b87aa83	npm-audit	js-yaml	GHSA-52CP-R559-CP3M	high	js-yaml: YAML merge-key chains can force quadratic CPU consumption		
5d57cffeb6f13f36	npm-audit	bson	GHSA-V8W9-2789-6HHR	critical	Deserialization of Untrusted Data in bson		
5ecd5e96e2905f3e	osv-scanner	path-to-regexp	CVE-2024-52798	high	path-to-regexp contains a ReDoS		
5ee842c117658820	npm-audit	qs	GHSA-HRPP-H998-J3PP	high	qs vulnerable to Prototype Pollution		
5ee842c117658820	npm-audit	qs	GHSA-HRPP-H998-J3PP	high	qs vulnerable to Prototype Pollution		
5ee842c117658820	npm-audit	qs	GHSA-HRPP-H998-J3PP	high	qs vulnerable to Prototype Pollution		
5f45efea75d7eab3	npm-audit	tar	GHSA-8X88-C5MF-7J5W	high	node-tar: Negative tar entry size causes infinite loop in archive replace		
5fbac3192cada5cf	osv-scanner	uglify-js	CVE-2015-8858	high	Regular Expression Denial of Service in uglify-js		
5fcfca9114a2de43	osv-scanner	on-headers	CVE-2025-7339	low	on-headers is vulnerable to http response header manipulation		
60f79c76d299c618	npm-audit	uglify-js	GHSA-C9F4-XJ24-8JQX	high	Regular Expression Denial of Service in uglify-js		
620312d8347b5b52	npm-audit	mime	GHSA-WRVR-8MPX-R7PP	high	mime Regular Expression Denial of Service when MIME lookup performed on untrusted user input		
6241f0011303aea8	osv-scanner	braces	CVE-2024-4068	high	Uncontrolled resource consumption in braces		
625c53eaadef76c8	osv-scanner	express	CVE-2024-29041	moderate	Express.js Open Redirect in malformed URLs		
62ae2ebf0f1e5edb	osv-scanner	lodash	CVE-2020-28500	moderate	Regular Expression Denial of Service (ReDoS) in lodash		
63a67d3ed0f06c0b	osv-scanner	marked	CVE-2017-1000427	moderate	Marked vulnerable to XSS from data URIs		
63b407b27b0b7015	npm-audit	tar	GHSA-W8WR-V893-VJVP	moderate	node-tar: Process crash via PAX numeric path type confusion		
64b47d4a47cbb02b	npm-audit	body-parser	GHSA-QWCR-R2FM-QRC7	high	body-parser vulnerable to denial of service when url encoding is enabled		
654c42dcfbcb7b87	osv-scanner	request	CVE-2017-16026	moderate	Remote Memory Exposure in request		
6560db480e8d8b14	osv-scanner	qs	CVE-2014-7191	high	Denial-of-Service Memory Exhaustion in qs		
65badc5aabfe2a47	npm-audit	bson	GHSA-4JWP-VFVF-657P	moderate	Deserialization of Untrusted Data in bson		
665a5b7899e8d507	osv-scanner	minimatch	CVE-2026-27903	high	minimatch has ReDoS: matchOne() combinatorial backtracking via multiple non-adjacent GLOBSTAR segments		
66f3c9b34ed4c9a2	osv-scanner	marked	CVE-2022-21681	high	Inefficient Regular Expression Complexity in marked		
685169973215b662	npm-audit	form-data	GHSA-HMW2-7CC7-3QXX	high	form-data: CRLF injection in form-data via unescaped multipart field names and filenames		
68e3d6b509cf974a	npm-audit	grunt	GHSA-J383-35PM-C5H4	moderate	Path Traversal in Grunt		
699ee35041e09dce	osv-scanner	send	CVE-2024-43799	low	send vulnerable to template injection that can lead to XSS		
6c93a4b6f291b57c	osv-scanner	dot-prop	CVE-2020-8116	high	dot-prop Prototype Pollution vulnerability		
6d44bc01f0be1a56	osv-scanner	ms	CVE-2017-20162	moderate	Vercel ms Inefficient Regular Expression Complexity vulnerability		
6d8e233e3b0d09fc	npm-audit	qs	GHSA-6RW7-VPXM-498P	moderate	qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion		
6d923292cbb0e334	npm-audit	tough-cookie	GHSA-G7Q5-PJJR-GQVP	high	Regular Expression Denial of Service in tough-cookie		
709bf8940d70d854	npm-audit	npm	GHSA-93F3-23RQ-PJFP	moderate	npm CLI exposing sensitive information through logs		
72573e8f1c0fa5e8	osv-scanner	kind-of	CVE-2019-20149	high	Validation Bypass in kind-of		
72631aa267f9676a	npm-audit	on-headers	GHSA-76C9-3JPH-RJ3Q	low	on-headers is vulnerable to http response header manipulation		
7799487d901df002	osv-scanner	npm	CVE-2019-16776	high	npm symlink reference outside of node_modules		
7a22d49a0c107b8d	osv-scanner	hawk	CVE-2016-2515	high	Regular Expression Denial of Service in hawk		
7b900a361a6eea8f	npm-audit	tar	GHSA-J44M-QM6P-HP7M	high	Arbitrary File Overwrite in tar		
7ce09bf6f275bc27	npm-audit	moment	GHSA-8HFJ-J24R-96C4	high	Path Traversal: 'dir/../../filename' in moment.locale		
7dd299785a002b8a	npm-audit	request	GHSA-7XFP-9C55-5VQJ	moderate	Remote Memory Exposure in request		
7dd299785a002b8a	npm-audit	request	GHSA-7XFP-9C55-5VQJ	moderate	Remote Memory Exposure in request		
7dd390455d9c1a62	osv-scanner	extend	CVE-2018-16492	moderate	Prototype Pollution in extend		
7e337cbe30312962	osv-scanner	form-data	CVE-2025-7783	critical	form-data uses unsafe random function in form-data for choosing boundary		
7e66e64b5a01bf3e	npm-audit	tough-cookie	GHSA-72XF-G2V4-QVF3	moderate	tough-cookie Prototype Pollution vulnerability		
7eb383ebda7300ac	npm-audit	handlebars	GHSA-765H-QJXV-5F44	critical	Prototype Pollution in handlebars		
7f77d8a190887087	osv-scanner	tar	CVE-2026-59873	critical	node-tar: Decompression/parse DoS via unlimited input		
7f997389dcf3af05	osv-scanner	websocket-extensions	CVE-2020-7662	high	Regular Expression Denial of Service in websocket-extensions (NPM package)		
7fcee3bcdc298b4b	osv-scanner	marked	CVE-2018-25110	moderate	Marked allows Regular Expression Denial of Service (ReDoS) attacks		
7fcfdba64314d3af	osv-scanner	hoek	CVE-2020-36604	high	hoek subject to prototype pollution via the clone function.		
81ee42dc2c041f8d	npm-audit	set-value	GHSA-4G88-FPPR-53PP	critical	Prototype Pollution in set-value		
8216034cc116e7a3	osv-scanner	brace-expansion	CVE-2026-69152	high	brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation		
825a7af11fbc836e	osv-scanner	minimatch	CVE-2026-27904	high	minimatch ReDoS: nested *() extglobs generate catastrophically backtracking regular expressions		
825ad6e2a21233ed	npm-audit	nconf	GHSA-6XWR-Q98W-RVG7	high	Prototype Pollution in nconf		
827edfac75605d9e	osv-scanner	js-yaml	CVE-2025-64718	moderate	js-yaml has prototype pollution in merge (<<)		
828f6a843373c06d	npm-audit	moment	GHSA-WC69-RHJR-HC9G	high	Moment.js vulnerable to Inefficient Regular Expression Complexity		
83dd997038fee905	npm-audit	lodash	GHSA-35JH-R3H4-6JHM	high	Command Injection in lodash		
8423edd60e5f9b0c	osv-scanner	nconf	CVE-2022-21803	high	Prototype Pollution in nconf		
86e0fb01b3034316	osv-scanner	js-yaml	CVE-2026-53550	moderate	JS-YAML: Quadratic-complexity DoS in merge key handling via repeated aliases		
87851c6a658ad330	osv-scanner	got	CVE-2022-33987	moderate	Got allows a redirect to a UNIX socket		
87b5ca28cd121dfc	osv-scanner	handlebars	CVE-2019-20922	high	Regular Expression Denial of Service in Handlebars		
88d5a20edd565beb	osv-scanner	underscore	CVE-2026-27601	high	Underscore has unlimited recursion in _.flatten and _.isEqual, potential for DoS attack		
8980652fdfa0fc05	npm-audit	mongodb	GHSA-MH5C-679W-HH4R	high	Denial of Service in mongodb		
8980652fdfa0fc05	osv-scanner	mongodb	GHSA-MH5C-679W-HH4R	high	Denial of Service in mongodb		
8a61a43249f065c7	osv-scanner	ajv	CVE-2025-69873	moderate	ajv has ReDoS when using `$data` option		
8ae53a9f65ce18ad	osv-scanner	y18n	CVE-2020-7774	high	Prototype Pollution in y18n		
8cbbb26e82b75915	osv-scanner	lodash	CVE-2021-23337	high	Command Injection in lodash		
8ce256d6335cade4	osv-scanner	js-yaml	CVE-2026-59869	high	js-yaml: YAML merge-key chains can force quadratic CPU consumption		
8d44946c3ad120d0	osv-scanner	uuid	CVE-2026-41907	moderate	uuid: Missing buffer bounds check in v3/v5/v6 when buf is provided		
8e4559ee9edb0dde	osv-scanner	tough-cookie	CVE-2017-15010	high	Regular Expression Denial of Service in tough-cookie		
8ea6d474b1ee4ab2	npm-audit	debug	GHSA-GXPJ-CX7G-858C	low	Regular Expression Denial of Service in debug		
8ea6d474b1ee4ab2	npm-audit	debug	GHSA-GXPJ-CX7G-858C	low	Regular Expression Denial of Service in debug		
8ea6d474b1ee4ab2	npm-audit	debug	GHSA-GXPJ-CX7G-858C	low	Regular Expression Denial of Service in debug		
8ee86d41750099b3	osv-scanner	babel-traverse	CVE-2023-45133	critical	Babel vulnerable to arbitrary code execution when compiling specifically crafted malicious code		
8ef0923d5212e11a	npm-audit	handlebars	GHSA-2QVQ-RJWJ-GVW9	moderate	Handlebars.js has Prototype Pollution Leading to XSS through Partial Template Injection		
8f782def50aaf8c8	npm-audit	got	GHSA-PFRX-2Q88-QQ97	moderate	Got allows a redirect to a UNIX socket		
913bcd92bbf5340c	npm-audit	minimatch	GHSA-7R86-CG39-JMMJ	high	minimatch has ReDoS: matchOne() combinatorial backtracking via multiple non-adjacent GLOBSTAR segments		
91a6a7926a8d2262	osv-scanner	brace-expansion	CVE-2026-33750	moderate	brace-expansion: Zero-step sequence causes process hang and memory exhaustion		
93144a386f07a513	osv-scanner	debug	CVE-2017-20165	high	debug Inefficient Regular Expression Complexity vulnerability		
93f57b236a8c03df	npm-audit	tar	GHSA-3JFQ-G458-7QM9	high	Arbitrary File Creation/Overwrite due to insufficient absolute path sanitization		
93f57b236a8c03df	npm-audit	tar	GHSA-3JFQ-G458-7QM9	high	Arbitrary File Creation/Overwrite due to insufficient absolute path sanitization		
